OBJECTID,track,ypx_br,br_power_raw,surf_power_raw,ypx_surf,lat,lon,surf_elevation,region,lrz,fog,segment_id
73,46366,1598,0.000449749,0.0939258,1468,-75.1115,181.6088,1842.682983,UL,yes,yes,1.0
74,46366,1599,0.000511512,0.113877,1468,-75.1189,181.6028,1844.362427,UL,yes,yes,1.0
75,46366,1596,0.000701848,0.106971,1468,-75.1262,181.5969,1846.052002,UL,yes,yes,1.0
76,46366,1597,0.000429681,0.0839208,1468,-75.1335,181.591,1847.741455,UL,yes,yes,1.0
77,46366,1595,0.000653845,0.0861858,1468,-75.1421,181.584,1849.123535,UL,yes,yes,1.0
78,46366,1596,0.0011622,0.145505,1468,-75.1494,181.5781,1850.427856,UL,yes,yes,1.0
79,46366,1597,0.00205752,0.137502,1468,-75.1568,181.5722,1852.130249,UL,yes,yes,1.0
80,46366,1594,0.00105391,0.0676487,1468,-75.1641,181.5662,1853.15918,UL,yes,yes,1.0
81,46366,1595,0.000870835,0.067524,1468,-75.1726,181.5593,1854.0,UL,yes,yes,1.0
82,46366,1596,0.00078244,0.0745313,1468,-75.18,181.5534,1854.173218,UL,yes,yes,1.0
83,46366,1595,0.000523883,0.104647,1468,-75.1873,181.5475,1855.195679,UL,yes,yes,1.0
84,46366,1595,0.000934904,0.153026,1468,-75.1946,181.5415,1856.140381,UL,yes,yes,1.0
85,46366,1594,0.000476093,0.257005,1468,-75.2032,181.5346,1857.706665,UL,yes,yes,1.0
86,46366,1591,0.000403099,0.172836,1467,-75.2105,181.5287,1858.49231,UL,yes,yes,1.0
87,46366,1588,0.000760887,0.123118,1467,-75.2178,181.5227,1859.359009,UL,yes,yes,1.0
88,46366,1590,0.000337992,0.189911,1466,-75.2252,181.5168,1861.094604,UL,yes,yes,1.0
89,46366,1589,0.000338999,0.120459,1465,-75.2337,181.5099,1864.795288,UL,yes,yes,1.0
90,46366,1591,0.000884405,0.104465,1464,-75.2411,181.504,1866.880615,UL,yes,yes,1.0
91,46366,1588,0.000633838,0.17859,1464,-75.2484,181.498,1869.792114,UL,yes,yes,1.0
92,46366,1585,0.00093282,0.107823,1464,-75.2557,181.4921,1874.063965,UL,yes,yes,1.0
93,46366,1582,0.000779611,0.0803238,1463,-75.2643,181.4852,1877.148682,UL,yes,yes,1.0
94,46366,1583,0.00072277,0.0371236,1462,-75.2716,181.4792,1880.474976,UL,yes,yes,1.0
95,46366,1584,0.00164751,0.0724939,1462,-75.2789,181.4733,1883.409424,UL,yes,yes,1.0
96,46366,1585,0.00189388,0.0920859,1461,-75.2875,181.4664,1886.401489,UL,yes,yes,1.0
97,46366,1584,0.000714519,0.0562861,1461,-75.2948,181.4604,1888.101807,UL,yes,yes,1.0
98,46366,1583,0.000364377,0.130069,1462,-75.3022,181.4545,1888.995605,UL,yes,yes,1.0
99,46366,1580,0.000731646,0.174746,1462,-75.3095,181.4486,1889.58728,UL,yes,yes,1.0
100,46366,1581,0.00061868,0.139086,1463,-75.318,181.4417,1890.001587,UL,yes,yes,1.0
101,46366,1580,0.000598681,0.317499,1463,-75.3254,181.4357,1889.056274,UL,yes,yes,1.0
102,46366,1580,0.00058859,0.374208,1464,-75.3327,181.4298,1887.24939,UL,yes,yes,1.0
103,46366,1577,0.00121233,0.228915,1464,-75.34,181.4239,1884.017944,UL,yes,yes,1.0
